itching, skin_rash, nodal_skin_eruptions, dischromic _patches
 skin_rash, nodal_skin_eruptions, dischromic _patches,
itching, nodal_skin_eruptions, dischromic _patches,
itching, skin_rash, dischromic _patches,
itching, skin_rash, nodal_skin_eruptions,
 skin_rash, nodal_skin_eruptions, dischromic _patches,
itching, nodal_skin_eruptions, dischromic _patches,
itching, skin_rash, dischromic _patches,
itching, skin_rash, nodal_skin_eruptions,
itching, skin_rash, nodal_skin_eruptions, dischromic _patches
 continuous_sneezing, shivering, chills, watering_from_eyes
 shivering, chills, watering_from_eyes,
 continuous_sneezing, chills, watering_from_eyes,
 continuous_sneezing, shivering, watering_from_eyes,
 continuous_sneezing, shivering, chills,
 shivering, chills, watering_from_eyes,
 continuous_sneezing, chills, watering_from_eyes,
 continuous_sneezing, shivering, watering_from_eyes,
 continuous_sneezing, shivering, chills,
 continuous_sneezing, shivering, chills, watering_from_eyes
 stomach_pain, acidity, ulcers_on_tongue, vomiting
 stomach_pain, ulcers_on_tongue, vomiting, cough
 stomach_pain, acidity, vomiting, cough
 stomach_pain, acidity, ulcers_on_tongue, cough
 stomach_pain, acidity, ulcers_on_tongue, vomiting
 stomach_pain, acidity, ulcers_on_tongue, vomiting
 acidity, ulcers_on_tongue, vomiting, cough
 stomach_pain, ulcers_on_tongue, vomiting, cough
 stomach_pain, acidity, vomiting, cough
 stomach_pain, acidity, ulcers_on_tongue, cough
itching, vomiting, yellowish_skin, nausea
 vomiting, yellowish_skin, nausea, loss_of_appetite
itching, yellowish_skin, nausea, loss_of_appetite
itching, vomiting, nausea, loss_of_appetite
itching, vomiting, yellowish_skin, loss_of_appetite
itching, vomiting, yellowish_skin, nausea
itching, vomiting, yellowish_skin, nausea
itching, vomiting, yellowish_skin, nausea
itching, vomiting, yellowish_skin, nausea
itching, vomiting, yellowish_skin, nausea
itching, skin_rash, stomach_pain, burning_micturition
itching, stomach_pain, burning_micturition, spotting_ urination
itching, skin_rash, burning_micturition, spotting_ urination
itching, skin_rash, stomach_pain, spotting_ urination
itching, skin_rash, stomach_pain, burning_micturition
 skin_rash, stomach_pain, burning_micturition, spotting_ urination
itching, stomach_pain, burning_micturition, spotting_ urination
itching, skin_rash, burning_micturition, spotting_ urination
itching, skin_rash, stomach_pain, spotting_ urination
itching, skin_rash, stomach_pain, burning_micturition
 vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
 vomiting, indigestion, abdominal_pain, passage_of_gases
 indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
